run_id,retriever,variant,pair_label,fixed_config,semantic_config,fixed_chunker,semantic_chunker,n_paired_completed,n_fixed_total,n_semantic_total,ctx_avg_chunk_size_chars_fixed,ctx_avg_chunk_size_chars_semantic,ctx_avg_chunk_size_chars_delta,ctx_avg_chunk_size_chars_pct,ctx_avg_chunk_size_chars_wilcoxon_p,ctx_avg_chunk_size_chars_sig_diff,ctx_context_chars_total_fixed,ctx_context_chars_total_semantic,ctx_context_chars_total_delta,ctx_context_chars_total_pct,ctx_context_chars_total_wilcoxon_p,ctx_context_chars_total_sig_diff,ctx_context_tokens_est_fixed,ctx_context_tokens_est_semantic,ctx_context_tokens_est_delta,ctx_context_tokens_est_pct,ctx_context_tokens_est_wilcoxon_p,ctx_context_tokens_est_sig_diff,ctx_num_chunks_final_fixed,ctx_num_chunks_final_semantic,ctx_num_chunks_final_delta,ctx_num_chunks_final_pct,ctx_num_chunks_final_wilcoxon_p,ctx_num_chunks_final_sig_diff,q_correctness_fixed,q_correctness_semantic,q_correctness_delta,q_correctness_wilcoxon_p,q_correctness_equivalent,q_correctness_sig_diff,q_faithfulness_fixed,q_faithfulness_semantic,q_faithfulness_delta,q_faithfulness_wilcoxon_p,q_faithfulness_equivalent,q_faithfulness_sig_diff,q_answer_relevance_fixed,q_answer_relevance_semantic,q_answer_relevance_delta,q_answer_relevance_wilcoxon_p,q_answer_relevance_equivalent,q_answer_relevance_sig_diff,q_context_support_fixed,q_context_support_semantic,q_context_support_delta,q_context_support_wilcoxon_p,q_context_support_equivalent,q_context_support_sig_diff,q_overall_fixed,q_overall_semantic,q_overall_delta,q_overall_wilcoxon_p,q_overall_equivalent,q_overall_sig_diff,verdict_context_reduced,verdict_quality_preserved,verdict_supports_claim
run_20260521_005823_unknown_4818b378,s,rr,s_rr,baseline_s_rr,optimized_s_rr,fixed,semantic,625,625,625,502.35,428.78,-73.57,-14.65,0.0,True,2511.75,2143.88,-367.87,-14.65,0.0,True,627.52,535.61,-91.91,-14.65,0.0,True,5.0,5.0,0.0,0.0,,False,78.9424,76.9536,-1.9888,0.406113,True,False,84.0096,83.0432,-0.9664,0.505366,True,False,94.9104,94.7008,-0.2096,0.729582,True,False,94.712,93.28,-1.432,0.232984,True,False,82.432,80.6832,-1.7488,0.283903,True,False,True,True,True
run_20260521_005823_unknown_4818b378,s,rr_grounded,s_rr_grounded,baseline_s_rr_grounded,optimized_s_rr_grounded,fixed,semantic,625,625,625,502.35,428.78,-73.57,-14.65,0.0,True,2511.75,2143.88,-367.87,-14.65,0.0,True,627.52,535.61,-91.91,-14.65,0.0,True,5.0,5.0,0.0,0.0,,False,77.7616,76.8688,-0.8928,0.411413,True,False,86.1712,85.88,-0.2912,0.600673,True,False,96.6832,96.472,-0.2112,0.996306,True,False,96.208,93.696,-2.512,0.024433,False,True,81.04,80.4224,-0.6176,0.902666,True,False,True,True,True
run_20260521_031645_unknown_ecfe2405,s,(none),s,baseline_s,optimized_s,fixed,semantic,625,625,625,488.71,428.85,-59.86,-12.25,0.0,True,2443.55,2144.26,-299.29,-12.25,0.0,True,610.47,535.69,-74.78,-12.25,0.0,True,5.0,5.0,0.0,0.0,,False,71.9152,70.048,-1.8672,0.413188,True,False,79.4656,80.208,0.7424,0.637429,True,False,92.4432,92.4736,0.0304,0.944035,True,False,88.0304,88.496,0.4656,0.399299,True,False,75.9536,74.512,-1.4416,0.323952,True,False,True,True,True
run_20260521_031645_unknown_ecfe2405,s,rr,s_rr,baseline_s_rr,optimized_s_rr,fixed,semantic,625,625,625,502.35,428.78,-73.57,-14.65,0.0,True,2511.75,2143.88,-367.87,-14.65,0.0,True,627.52,535.61,-91.91,-14.65,0.0,True,5.0,5.0,0.0,0.0,,False,78.288,76.3616,-1.9264,0.401976,True,False,83.824,82.6544,-1.1696,0.572501,True,False,95.1376,94.1488,-0.9888,0.260437,True,False,95.0256,92.9008,-2.1248,0.11267,False,False,82.112,80.1888,-1.9232,0.098212,True,False,True,True,True
run_20260521_031645_unknown_ecfe2405,s,rr_grounded,s_rr_grounded,baseline_s_rr_grounded,optimized_s_rr_grounded,fixed,semantic,625,625,625,502.35,428.78,-73.57,-14.65,0.0,True,2511.75,2143.88,-367.87,-14.65,0.0,True,627.52,535.61,-91.91,-14.65,0.0,True,5.0,5.0,0.0,0.0,,False,76.4688,77.3856,0.9168,0.619355,True,False,86.1472,85.6576,-0.4896,0.652293,True,False,96.1664,96.384,0.2176,0.584978,True,False,95.2528,94.696,-0.5568,0.767152,True,False,80.1312,80.6224,0.4912,0.82195,True,False,True,True,True
run_20260521_053016_unknown_74a6f570,s,(none),s,baseline_s,optimized_s,fixed,semantic,625,625,625,488.71,428.85,-59.86,-12.25,0.0,True,2443.55,2144.26,-299.29,-12.25,0.0,True,610.47,535.69,-74.78,-12.25,0.0,True,5.0,5.0,0.0,0.0,,False,72.064,70.2736,-1.7904,0.634866,True,False,79.3824,81.0176,1.6352,0.280752,True,False,92.0704,92.6224,0.552,0.56597,True,False,87.6848,89.0912,1.4064,0.542216,True,False,76.504,74.6096,-1.8944,0.207722,True,False,True,True,True
run_20260521_053016_unknown_74a6f570,s,rr,s_rr,baseline_s_rr,optimized_s_rr,fixed,semantic,625,625,625,502.35,428.78,-73.57,-14.65,0.0,True,2511.75,2143.88,-367.87,-14.65,0.0,True,627.52,535.61,-91.91,-14.65,0.0,True,5.0,5.0,0.0,0.0,,False,79.608,76.8896,-2.7184,0.128658,False,False,84.0864,82.1744,-1.912,0.274829,True,False,94.6528,94.5568,-0.096,0.946577,True,False,93.3904,93.0256,-0.3648,0.622856,True,False,82.8992,80.1808,-2.7184,0.03048,False,True,True,False,False
run_20260521_053016_unknown_74a6f570,s,rr_grounded,s_rr_grounded,baseline_s_rr_grounded,optimized_s_rr_grounded,fixed,semantic,625,625,625,502.35,428.78,-73.57,-14.65,0.0,True,2511.75,2143.88,-367.87,-14.65,0.0,True,627.52,535.61,-91.91,-14.65,0.0,True,5.0,5.0,0.0,0.0,,False,77.7008,77.432,-0.2688,0.755587,True,False,86.2624,85.176,-1.0864,0.63477,True,False,97.4832,95.3232,-2.16,0.023708,False,True,95.5008,94.472,-1.0288,0.387742,True,False,81.112,80.7776,-0.3344,0.763791,True,False,True,True,True
run_20260521_074553_unknown_fedf0681,s,(none),s,baseline_s,optimized_s,fixed,semantic,625,625,625,488.71,428.85,-59.86,-12.25,0.0,True,2443.55,2144.26,-299.29,-12.25,0.0,True,610.47,535.69,-74.78,-12.25,0.0,True,5.0,5.0,0.0,0.0,,False,72.5488,71.3104,-1.2384,0.605235,True,False,83.056,77.1616,-5.8944,0.000374,False,True,95.32,93.5408,-1.7792,0.00925,True,True,89.7872,86.7744,-3.0128,0.01231,False,True,76.632,75.1728,-1.4592,0.062108,True,False,True,True,True
run_20260521_074553_unknown_fedf0681,s,rr,s_rr,baseline_s_rr,optimized_s_rr,fixed,semantic,625,625,625,502.35,428.78,-73.57,-14.65,0.0,True,2511.75,2143.88,-367.87,-14.65,0.0,True,627.52,535.61,-91.91,-14.65,0.0,True,5.0,5.0,0.0,0.0,,False,79.0656,76.352,-2.7136,0.152529,False,False,83.2608,83.3008,0.04,0.706267,True,False,95.064,94.8816,-0.1824,0.538079,True,False,94.6624,91.9888,-2.6736,0.000748,False,True,82.4448,80.4464,-1.9984,0.248874,True,False,True,False,False
run_20260521_074553_unknown_fedf0681,s,rr_grounded,s_rr_grounded,baseline_s_rr_grounded,optimized_s_rr_grounded,fixed,semantic,625,625,625,502.35,428.78,-73.57,-14.65,0.0,True,2511.75,2143.88,-367.87,-14.65,0.0,True,627.52,535.61,-91.91,-14.65,0.0,True,5.0,5.0,0.0,0.0,,False,77.8,74.7408,-3.0592,0.017121,False,True,89.144,88.312,-0.832,0.468967,True,False,97.664,97.9488,0.2848,0.701884,True,False,94.016,95.224,1.208,0.125486,True,False,81.6464,79.1552,-2.4912,0.041375,False,True,True,False,False
run_20260521_094824_unknown_39fff400,s,(none),s,baseline_s,optimized_s,fixed,semantic,625,625,625,488.71,428.85,-59.86,-12.25,0.0,True,2443.55,2144.26,-299.29,-12.25,0.0,True,610.47,535.69,-74.78,-12.25,0.0,True,5.0,5.0,0.0,0.0,,False,73.1056,71.3856,-1.72,0.245144,True,False,79.7664,78.8032,-0.9632,0.597539,True,False,94.384,92.3024,-2.0816,0.019758,False,True,88.8496,86.8832,-1.9664,0.028245,True,True,76.736,75.1872,-1.5488,0.201736,True,False,True,True,True
run_20260521_094824_unknown_39fff400,s,rr,s_rr,baseline_s_rr,optimized_s_rr,fixed,semantic,625,625,625,502.35,428.78,-73.57,-14.65,0.0,True,2511.75,2143.88,-367.87,-14.65,0.0,True,627.52,535.61,-91.91,-14.65,0.0,True,5.0,5.0,0.0,0.0,,False,78.4144,77.048,-1.3664,0.307527,True,False,85.4912,83.52,-1.9712,0.149141,True,False,94.568,93.8944,-0.6736,0.531931,True,False,95.456,92.992,-2.464,0.003956,False,True,81.8656,80.84,-1.0256,0.339509,True,False,True,True,True
run_20260521_094824_unknown_39fff400,s,rr_grounded,s_rr_grounded,baseline_s_rr_grounded,optimized_s_rr_grounded,fixed,semantic,625,625,625,502.35,428.78,-73.57,-14.65,0.0,True,2511.75,2143.88,-367.87,-14.65,0.0,True,627.52,535.61,-91.91,-14.65,0.0,True,5.0,5.0,0.0,0.0,,False,78.576,74.9952,-3.5808,0.027631,False,True,90.64,88.6848,-1.9552,0.18372,True,False,97.416,97.9632,0.5472,0.379494,True,False,93.592,94.8976,1.3056,0.340041,True,False,82.0672,79.1344,-2.9328,0.069073,False,False,True,False,False
run_20260521_115237_unknown_170932dd,s,(none),s,baseline_s,optimized_s,fixed,semantic,625,625,625,488.71,428.85,-59.86,-12.25,0.0,True,2443.55,2144.26,-299.29,-12.25,0.0,True,610.47,535.69,-74.78,-12.25,0.0,True,5.0,5.0,0.0,0.0,,False,71.8672,72.4768,0.6096,0.512459,True,False,81.1424,80.048,-1.0944,0.712094,True,False,94.608,92.7472,-1.8608,0.03253,True,True,90.496,87.752,-2.744,0.013138,False,True,76.3568,76.4656,0.1088,0.950735,True,False,True,True,True
run_20260521_115237_unknown_170932dd,s,rr,s_rr,baseline_s_rr,optimized_s_rr,fixed,semantic,625,625,625,502.35,428.78,-73.57,-14.65,0.0,True,2511.75,2143.88,-367.87,-14.65,0.0,True,627.52,535.61,-91.91,-14.65,0.0,True,5.0,5.0,0.0,0.0,,False,78.8944,76.592,-2.3024,0.220313,False,False,85.2208,84.1264,-1.0944,0.458747,True,False,94.5808,93.7968,-0.784,0.215457,True,False,95.2192,92.856,-2.3632,0.008429,False,True,82.536,80.4992,-2.0368,0.142846,False,False,True,False,False
run_20260521_115237_unknown_170932dd,s,rr_grounded,s_rr_grounded,baseline_s_rr_grounded,optimized_s_rr_grounded,fixed,semantic,625,625,625,502.35,428.78,-73.57,-14.65,0.0,True,2511.75,2143.88,-367.87,-14.65,0.0,True,627.52,535.61,-91.91,-14.65,0.0,True,5.0,5.0,0.0,0.0,,False,77.7952,75.5632,-2.232,0.306615,False,False,90.312,87.176,-3.136,0.0633,False,False,96.0992,97.2896,1.1904,0.220184,True,False,95.256,94.92,-0.336,0.761984,True,False,81.64,79.9424,-1.6976,0.383952,True,False,True,False,False
run_20260521_141011_unknown_d95c0ab0,s,(none),s,baseline_s,optimized_s,fixed,semantic,625,625,625,488.71,428.85,-59.86,-12.25,0.0,True,2443.55,2144.26,-299.29,-12.25,0.0,True,610.47,535.69,-74.78,-12.25,0.0,True,5.0,5.0,0.0,0.0,,False,73.7056,71.5152,-2.1904,0.368345,False,False,82.0496,79.704,-2.3456,0.206528,False,False,94.416,93.0128,-1.4032,0.226642,True,False,89.4752,89.216,-0.2592,0.48786,True,False,77.9648,75.512,-2.4528,0.056679,False,False,True,False,False
run_20260521_141011_unknown_d95c0ab0,s,rr,s_rr,baseline_s_rr,optimized_s_rr,fixed,semantic,625,625,625,502.35,428.78,-73.57,-14.65,0.0,True,2511.75,2143.88,-367.87,-14.65,0.0,True,627.52,535.61,-91.91,-14.65,0.0,True,5.0,5.0,0.0,0.0,,False,78.576,76.3456,-2.2304,0.134365,False,False,84.2816,84.9312,0.6496,0.680538,True,False,95.024,94.5792,-0.4448,0.442332,True,False,94.56,92.0304,-2.5296,0.004853,False,True,82.2032,80.5072,-1.696,0.166977,True,False,True,False,False
run_20260521_141011_unknown_d95c0ab0,s,rr_grounded,s_rr_grounded,baseline_s_rr_grounded,optimized_s_rr_grounded,fixed,semantic,625,625,625,502.35,428.78,-73.57,-14.65,0.0,True,2511.75,2143.88,-367.87,-14.65,0.0,True,627.52,535.61,-91.91,-14.65,0.0,True,5.0,5.0,0.0,0.0,,False,77.304,76.712,-0.592,0.686922,True,False,89.1568,87.5152,-1.6416,0.305397,True,False,97.208,97.4,0.192,0.946508,True,False,95.576,94.056,-1.52,0.163033,True,False,81.1472,80.6592,-0.488,0.536675,True,False,True,True,True
